number	sample	contig	 Reads 	 length 	ref	coding	family
65	33979	contig_12149	 103 	" 59,357 "	Asinivirinae	11	Steigviridae
128	34038	contig_13525	 103 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
1189	34001	contig_10809	 103 	" 99,263 "	Blohavirus	TAG	Suoliviridae
749	33931	contig_5617	 102 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1777	33936	contig_18456	 102 	" 44,008 "	Birpovirus	11	Suoliviridae
1257	33940	contig_1091	 99 	" 145,297 "	Epsilon_2_3	11	Epsilon
794	33890	contig_5621	 98 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1026	33893	contig_7054	 96 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1911	34024	contig_14619	 96 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
2117	34020	contig_15524	 96 	" 89,414 "	Delmidovirus copri	11	Intestiviridae
870	33901	contig_5776	 95 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1834	33890	contig_239525	 95 	" 28,967 "	Zeta_8_1	11	Zeta
1169	33993	contig_9031	 94 	" 13,531 "		11	
1671	33917	contig_8448	 94 	" 25,091 "	Zeta_3_1	11	Zeta
1736	34042	contig_14150	 94 	" 14,876 "	Zeta_4_1	11	Zeta
725	33942	contig_5148	 93 	" 72,032 "	Kehishuvirus	11	Steigviridae
764	34019	contig_5617	 93 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1852	33992	contig_241147	 93 	" 92,029 "	Drivevirus	11	Intestiviridae
188	33954	contig_18154	 92 	" 20,165 "	Kingevirus communis	11	Crevaviridae
1035	33932	contig_7054	 92 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1357	34039	contig_17571	 92 	" 113,452 "	Zeta_7_1	TGA	Zeta
301	33867	contig_2345	 91 	" 17,956 "	Epsilon_1_1	11	Epsilon
401	33939	contig_239060	 91 	" 10,591 "	Carjivirus communis	11	Intestiviridae
1726	34043	contig_14135	 91 	" 68,829 "	Zeta_4_1	11	Zeta
374	33869	contig_239060	 90 	" 10,591 "	Carjivirus communis	11	Intestiviridae
774	33855	contig_5621	 90 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1101	33942	contig_7091	 90 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1647	34042	contig_10753	 90 	" 16,928 "	Suoliviridae	TAG	Suoliviridae
889	33970	contig_5776	 89 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1505	34000	contig_3469	 89 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1173	33857	contig_10809	 88 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1525	33866	contig_6493	 88 	" 21,922 "	Zeta_15_1	11	Zeta
1568	34008	contig_8031	 88 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1776	33925	contig_18456	 88 	" 44,008 "	Birpovirus	11	Suoliviridae
888	33969	contig_5776	 87 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
739	33866	contig_5617	 86 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1194	34010	contig_10809	 86 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1727	33861	contig_14150	 86 	" 14,876 "	Zeta_4_1	11	Zeta
1999	34030	contig_241883	 86 	" 29,640 "	Bohxovirus	TAG	Suoliviridae
858	33881	contig_5776	 85 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
916	34042	contig_5776	 85 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1266	33955	contig_1091	 85 	" 145,297 "	Epsilon_2_3	11	Epsilon
1825	33943	contig_20815	 85 	" 11,243 "	Kolpuevirus hominis	11	Steigviridae
628	34042	contig_3213	 84 	" 37,472 "	Epsilon_1	11	Epsilon
2084	33943	contig_241434	 84 	" 10,082 "	Kolpuevirus hominis	11	Steigviridae
875	33925	contig_5776	 83 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1922	33932	contig_15614	 83 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
243	33942	contig_1857	 82 	" 141,010 "	Epsilon_1	11	Epsilon
381	33881	contig_239060	 82 	" 10,591 "	Carjivirus communis	11	Intestiviridae
997	33959	contig_7034	 82 	" 16,937 "	Kingevirus communis	11	Crevaviridae
656	33922	contig_3411	 81 	" 77,979 "	Epsilon_1_4	11	Epsilon
1127	34015	contig_7091	 81 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1913	34028	contig_14619	 80 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1516	34036	contig_3469	 79 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1629	33961	contig_10752	 79 	" 13,004 "	Suoliviridae	TAG	Suoliviridae
2000	33896	contig_10493	 79 	" 18,937 "	Jahgtovirus intestinalis	11	Intestiviridae
2145	33953	contig_20010	 79 	" 23,794 "		11	outgroup
776	33857	contig_5621	 78 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1295	34038	contig_1091	 78 	" 145,297 "	Epsilon_2_3	11	Epsilon
1771	33866	contig_18456	 78 	" 44,008 "	Birpovirus	11	Suoliviridae
970	34039	contig_7024	 77 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1378	33939	contig_2405	 77 	" 18,695 "	Epsilon_1	11	Epsilon
886	33964	contig_5776	 75 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
146	33932	contig_13662	 74 	" 22,603 "	Asinivirinae	11	Steigviridae
359	34030	contig_2345	 74 	" 17,956 "	Epsilon_1_1	11	Epsilon
721	33898	contig_5148	 74 	" 72,032 "	Kehishuvirus	11	Steigviridae
985	33902	contig_7034	 73 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1373	33891	contig_2405	 73 	" 18,695 "	Epsilon_1	11	Epsilon
38	33855	contig_11067	 72 	" 24,409 "	Canhaevirus faecalis	11	Suoliviridae
189	33957	contig_18154	 72 	" 20,165 "	Kingevirus communis	11	Crevaviridae
855	33877	contig_5776	 72 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1136	34039	contig_7091	 72 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1145	33861	contig_7648	 72 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
2141	34008	contig_241570	 72 	" 182,976 "	Zeta_2	11	Zeta
703	34009	contig_3411	 71 	" 77,979 "	Epsilon_1_4	11	Epsilon
73	34037	contig_12149	 70 	" 59,357 "	Asinivirinae	11	Steigviridae
624	34029	contig_3213	 70 	" 37,472 "	Epsilon_1	11	Epsilon
913	34030	contig_5776	 70 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
962	34009	contig_7024	 70 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1144	33860	contig_7648	 70 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1575	34037	contig_8031	 70 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1640	33961	contig_10753	 70 	" 16,928 "	Suoliviridae	TAG	Suoliviridae
1677	33860	contig_8451	 70 	" 46,522 "	Zeta_3_1	11	Zeta
1987	34027	contig_11105	 70 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
382	33882	contig_239060	 69 	" 10,591 "	Carjivirus communis	11	Intestiviridae
615	33996	contig_3213	 69 	" 37,472 "	Epsilon_1	11	Epsilon
1639	33960	contig_10753	 69 	" 16,928 "	Suoliviridae	TAG	Suoliviridae
1949	33982	contig_16169	 69 	" 35,220 "	Buchavirus	TAG	Suoliviridae
43	33857	contig_12149	 68 	" 59,357 "	Asinivirinae	11	Steigviridae
448	33860	contig_240585	 68 	" 10,264 "	Dabirmavirus	11	Intestiviridae
779	33861	contig_5621	 68 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
866	33895	contig_5776	 67 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1723	34007	contig_14135	 67 	" 68,829 "	Zeta_4_1	11	Zeta
1883	33957	contig_7377	 67 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
1452	33862	contig_3469	 66 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1708	33861	contig_12042	 66 	" 11,863 "	Zeta_4	11	Zeta
1912	34027	contig_14619	 66 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
107	33949	contig_13525	 65 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
1985	34013	contig_11105	 65 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
2140	34007	contig_241570	 65 	" 182,976 "	Zeta_2	11	Zeta
983	33893	contig_7034	 64 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1191	34007	contig_10809	 63 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1813	33943	contig_243430	 63 	" 13,080 "	Zeta_15_1	11	Zeta
733	33859	contig_5617	 62 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
767	34027	contig_5617	 62 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
869	33898	contig_5776	 62 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1067	33857	contig_7091	 62 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1120	33992	contig_7091	 62 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1874	33942	contig_7377	 62 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
885	33963	contig_5776	 61 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1327	33860	contig_17571	 60 	" 113,452 "	Zeta_7_1	TGA	Zeta
1337	33960	contig_17571	 60 	" 113,452 "	Zeta_7_1	TGA	Zeta
1424	33866	contig_241592	 60 	" 97,658 "	Birpovirus	TAG	Suoliviridae
865	33893	contig_5776	 59 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1348	34012	contig_17571	 59 	" 113,452 "	Zeta_7_1	TGA	Zeta
101	33939	contig_13525	 58 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
207	33859	contig_1857	 58 	" 141,010 "	Epsilon_1	11	Epsilon
623	34022	contig_3213	 58 	" 37,472 "	Epsilon_1	11	Epsilon
1714	34042	contig_12042	 58 	" 11,863 "	Zeta_4	11	Zeta
1754	33865	contig_242515	 58 	" 14,110 "		11	
726	33943	contig_5148	 57 	" 72,032 "	Kehishuvirus	11	Steigviridae
2146	33992	contig_20010	 57 	" 23,794 "		11	outgroup
160	34040	contig_13662	 56 	" 22,603 "	Asinivirinae	11	Steigviridae
546	34001	contig_3100	 56 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1331	33879	contig_17571	 56 	" 113,452 "	Zeta_7_1	TGA	Zeta
1346	34007	contig_17571	 56 	" 113,452 "	Zeta_7_1	TGA	Zeta
1973	33955	contig_11105	 56 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
2111	34011	contig_15524	 56 	" 89,414 "	Delmidovirus copri	11	Intestiviridae
153	33979	contig_13662	 55 	" 22,603 "	Asinivirinae	11	Steigviridae
192	33981	contig_18154	 55 	" 20,165 "	Kingevirus communis	11	Crevaviridae
864	33891	contig_5776	 55 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1313	34039	contig_10830	 55 	" 23,029 "	Birpovirus	TAG	Suoliviridae
1628	33960	contig_10752	 55 	" 13,004 "	Suoliviridae	TAG	Suoliviridae
1806	33942	contig_239515	 55 	" 18,913 "	Mahlunavirus	11	Steigviridae
500	34029	contig_240585	 54 	" 10,264 "	Dabirmavirus	11	Intestiviridae
986	33932	contig_7034	 53 	" 16,937 "	Kingevirus communis	11	Crevaviridae
541	33981	contig_3100	 52 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
782	33865	contig_5621	 52 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
826	33996	contig_5621	 52 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1706	34042	contig_12041	 52 	" 29,559 "	Zeta_4_1	11	Zeta
1886	33960	contig_7377	 52 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
2021	33925	contig_239885	 52 	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
112	33976	contig_13525	 51 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
1975	33961	contig_11105	 51 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
45	33860	contig_12149	 50 	" 59,357 "	Asinivirinae	11	Steigviridae
1190	34006	contig_10809	 50 	" 99,263 "	Blohavirus	TAG	Suoliviridae
2026	34011	contig_239885	 50 	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
307	33891	contig_2345	 49 	" 17,956 "	Epsilon_1_1	11	Epsilon
1	33861	contig_10982	 48 	" 14,547 "	Kehishuvirus	11	Steigviridae
102	33940	contig_13525	 48 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
183	33940	contig_18154	 48 	" 20,165 "	Kingevirus communis	11	Crevaviridae
516	33870	contig_3100	 48 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1050	33981	contig_7054	 48 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1305	33869	contig_10830	 48 	" 23,029 "	Birpovirus	TAG	Suoliviridae
87	34011	contig_12421	 47 	" 21,658 "	Kehishuvirus	11	Steigviridae
1333	33887	contig_17571	 47 	" 113,452 "	Zeta_7_1	TGA	Zeta
15	33870	contig_11000	 46 	" 18,137 "	Culoivirus faecalis	11	Suoliviridae
18	33877	contig_11000	 46 	" 18,137 "	Culoivirus faecalis	11	Suoliviridae
831	34011	contig_5621	 46 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1001	33981	contig_7034	 46 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1147	33863	contig_7648	 46 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1699	34043	contig_12034	 46 	" 21,580 "	Zeta_4_1	11	Zeta
1737	34043	contig_14150	 46 	" 14,876 "	Zeta_4_1	11	Zeta
2042	33974	contig_17442	 46 	" 75,857 "	Buchavirus	TAG	Suoliviridae
179	33932	contig_18154	 45 	" 20,165 "	Kingevirus communis	11	Crevaviridae
614	33995	contig_3213	 45 	" 37,472 "	Epsilon_1	11	Epsilon
2053	33908	contig_13463	 45 	" 31,471 "	Fohxhuevirus gastrointestinalis	11	Intestiviridae
137	33857	contig_13662	 44 	" 22,603 "	Asinivirinae	11	Steigviridae
247	33950	contig_1857	 44 	" 141,010 "	Epsilon_1	11	Epsilon
627	34039	contig_3213	 44 	" 37,472 "	Epsilon_1	11	Epsilon
1718	33960	contig_14135	 44 	" 68,829 "	Zeta_4_1	11	Zeta
1816	33981	contig_243430	 44 	" 13,080 "	Zeta_15_1	11	Zeta
1057	34015	contig_7054	 43 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1267	33957	contig_1091	 43 	" 145,297 "	Epsilon_2_3	11	Epsilon
1884	33958	contig_7377	 43 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
2115	34018	contig_15524	 43 	" 89,414 "	Delmidovirus copri	11	Intestiviridae
103	33941	contig_13525	 42 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
223	33890	contig_1857	 42 	" 141,010 "	Epsilon_1	11	Epsilon
918	33855	contig_7024	 42 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1153	33866	contig_8054	 42 	" 71,426 "	Kahnovirus	11	Steigviridae
1279	33976	contig_1091	 42 	" 145,297 "	Epsilon_2_3	11	Epsilon
1323	34009	contig_10844	 42 	" 14,861 "	Blohavirus americanus	TAG	Suoliviridae
1541	34040	contig_6493	 42 	" 21,922 "	Zeta_15_1	11	Zeta
114	33980	contig_13525	 41 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
1815	33979	contig_243430	 41 	" 13,080 "	Zeta_15_1	11	Zeta
375	33870	contig_239060	 40 	" 10,591 "	Carjivirus communis	11	Intestiviridae
378	33877	contig_239060	 40 	" 10,591 "	Carjivirus communis	11	Intestiviridae
887	33965	contig_5776	 40 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
890	33973	contig_5776	 40 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1100	33941	contig_7091	 40 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1311	34009	contig_10830	 40 	" 23,029 "	Birpovirus	TAG	Suoliviridae
1418	34030	contig_2405	 40 	" 18,695 "	Epsilon_1	11	Epsilon
1559	33981	contig_8031	 40 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1674	33943	contig_8448	 40 	" 25,091 "	Zeta_3_1	11	Zeta
1885	33959	contig_7377	 40 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
236	33924	contig_1857	 39 	" 141,010 "	Epsilon_1	11	Epsilon
501	34030	contig_240585	 39 	" 10,264 "	Dabirmavirus	11	Intestiviridae
1877	33949	contig_7377	 39 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
30	33877	contig_11002	 38 	" 106,707 "	Culoivirus	11	Suoliviridae
139	33860	contig_13662	 38 	" 22,603 "	Asinivirinae	11	Steigviridae
902	34012	contig_5776	 38 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
2037	33964	contig_17442	 38 	" 75,857 "	Buchavirus	TAG	Suoliviridae
900	34007	contig_5776	 37 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1752	34000	contig_9107	 37 	" 49,452 "	Jahgtovirus	11	Intestiviridae
158	34037	contig_13662	 36 	" 22,603 "	Asinivirinae	11	Steigviridae
694	33993	contig_3411	 36 	" 77,979 "	Epsilon_1_4	11	Epsilon
965	34015	contig_7024	 36 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1374	33896	contig_2405	 36 	" 18,695 "	Epsilon_1	11	Epsilon
1801	33943	contig_21240	 36 	" 14,036 "	Kahnovirus	11	Steigviridae
2112	34012	contig_15524	 36 	" 89,414 "	Delmidovirus copri	11	Intestiviridae
105	33943	contig_13525	 35 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
111	33975	contig_13525	 35 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
313	33939	contig_2345	 35 	" 17,956 "	Epsilon_1_1	11	Epsilon
579	33922	contig_3213	 35 	" 37,472 "	Epsilon_1	11	Epsilon
700	34006	contig_3411	 35 	" 77,979 "	Epsilon_1_4	11	Epsilon
2098	34000	contig_7298	 35 	" 11,376 "	Buorbuivirus	TAG	Suoliviridae
920	33857	contig_7024	 34 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1146	33862	contig_7648	 34 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1259	33942	contig_1091	 34 	" 145,297 "	Epsilon_2_3	11	Epsilon
1817	33982	contig_243430	 34 	" 13,080 "	Zeta_15_1	11	Zeta
217	33880	contig_1857	 33 	" 141,010 "	Epsilon_1	11	Epsilon
907	34020	contig_5776	 33 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
914	34031	contig_5776	 33 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
990	33942	contig_7034	 33 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1188	34000	contig_10809	 33 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1474	33913	contig_3469	 33 	" 56,074 "	Junduvirus communis	11	Crevaviridae
308	33896	contig_2345	 32 	" 17,956 "	Epsilon_1_1	11	Epsilon
408	33950	contig_239060	 32 	" 10,591 "	Carjivirus communis	11	Intestiviridae
643	33884	contig_3411	 32 	" 77,979 "	Epsilon_1_4	11	Epsilon
1148	33865	contig_7648	 32 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1170	33995	contig_9031	 32 	" 13,531 "		11	
331	33974	contig_2345	 31 	" 17,956 "	Epsilon_1_1	11	Epsilon
422	33995	contig_239060	 31 	" 10,591 "	Carjivirus communis	11	Intestiviridae
571	33884	contig_3213	 31 	" 37,472 "	Epsilon_1	11	Epsilon
816	33964	contig_5621	 31 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
908	34022	contig_5776	 31 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1281	33980	contig_1091	 31 	" 145,297 "	Epsilon_2_3	11	Epsilon
1509	34008	contig_3469	 31 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1586	33895	contig_241601	 31 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
113	33979	contig_13525	 30 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
185	33942	contig_18154	 30 	" 20,165 "	Kingevirus communis	11	Crevaviridae
464	33964	contig_240585	 30 	" 10,264 "	Dabirmavirus	11	Intestiviridae
737	33863	contig_5617	 30 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
760	33997	contig_5617	 30 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
867	33896	contig_5776	 30 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
946	33942	contig_7024	 30 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1140	33855	contig_7648	 30 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1264	33953	contig_1091	 30 	" 145,297 "	Epsilon_2_3	11	Epsilon
1664	33860	contig_8448	 30 	" 25,091 "	Zeta_3_1	11	Zeta
1905	33980	contig_14619	 30 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
2143	34010	contig_241570	 30 	" 182,976 "	Zeta_2	11	Zeta
116	33982	contig_13525	 29 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
418	33988	contig_239060	 29 	" 10,591 "	Carjivirus communis	11	Intestiviridae
435	34038	contig_239060	 29 	" 10,591 "	Carjivirus communis	11	Intestiviridae
597	33963	contig_3213	 29 	" 37,472 "	Epsilon_1	11	Epsilon
791	33884	contig_5621	 29 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1265	33954	contig_1091	 29 	" 145,297 "	Epsilon_2_3	11	Epsilon
1271	33961	contig_1091	 29 	" 145,297 "	Epsilon_2_3	11	Epsilon
1390	33963	contig_2405	 29 	" 18,695 "	Epsilon_1	11	Epsilon
1878	33950	contig_7377	 29 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
882	33941	contig_5776	 28 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1083	33890	contig_7091	 28 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1220	34009	contig_10841	 28 	" 12,322 "	Blohavirus americanus	TAG	Suoliviridae
1786	33961	contig_18456	 28 	" 44,008 "	Birpovirus	11	Suoliviridae
2130	34031	contig_242102	 28 	" 20,064 "	Intestiviridae	11	Intestiviridae
1005	34009	contig_7034	 27 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1063	34039	contig_7054	 27 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1250	33916	contig_1091	 27 	" 145,297 "	Epsilon_2_3	11	Epsilon
1657	33932	contig_8225	 27 	" 178,222 "	Zeta_3_1	11	Zeta
1707	34043	contig_12041	 27 	" 29,559 "	Zeta_4_1	11	Zeta
1750	33976	contig_9107	 27 	" 49,452 "	Jahgtovirus	11	Intestiviridae
2044	33982	contig_17442	 27 	" 75,857 "	Buchavirus	TAG	Suoliviridae
78	33861	contig_12421	 26 	" 21,658 "	Kehishuvirus	11	Steigviridae
98	33932	contig_13525	 26 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
312	33922	contig_2345	 26 	" 17,956 "	Epsilon_1_1	11	Epsilon
734	33860	contig_5617	 26 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
772	34036	contig_5617	 26 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1068	33859	contig_7091	 26 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1069	33860	contig_7091	 26 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1263	33951	contig_1091	 26 	" 145,297 "	Epsilon_2_3	11	Epsilon
1280	33979	contig_1091	 26 	" 145,297 "	Epsilon_2_3	11	Epsilon
2142	34009	contig_241570	 26 	" 182,976 "	Zeta_2	11	Zeta
342	33995	contig_2345	 25 	" 17,956 "	Epsilon_1_1	11	Epsilon
640	33880	contig_3411	 25 	" 77,979 "	Epsilon_1_4	11	Epsilon
1551	33963	contig_8031	 25 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1689	33955	contig_12034	 25 	" 21,580 "	Zeta_4_1	11	Zeta
1775	33922	contig_18456	 25 	" 44,008 "	Birpovirus	11	Suoliviridae
1906	33982	contig_14619	 25 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1998	33995	contig_241883	 25 	" 29,640 "	Bohxovirus	TAG	Suoliviridae
118	33984	contig_13525	 24 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
662	33942	contig_3411	 24 	" 77,979 "	Epsilon_1_4	11	Epsilon
723	33908	contig_5148	 24 	" 72,032 "	Kehishuvirus	11	Steigviridae
730	33855	contig_5617	 24 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1420	34039	contig_2405	 24 	" 18,695 "	Epsilon_1	11	Epsilon
1538	33989	contig_6493	 24 	" 21,922 "	Zeta_15_1	11	Zeta
1720	33964	contig_14135	 24 	" 68,829 "	Zeta_4_1	11	Zeta
1880	33953	contig_7377	 24 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
2113	34013	contig_15524	 24 	" 89,414 "	Delmidovirus copri	11	Intestiviridae
106	33947	contig_13525	 23 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
222	33888	contig_1857	 23 	" 141,010 "	Epsilon_1	11	Epsilon
261	33974	contig_1857	 23 	" 141,010 "	Epsilon_1	11	Epsilon
1488	33964	contig_3469	 23 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1515	34029	contig_3469	 23 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1635	34036	contig_10752	 23 	" 13,004 "	Suoliviridae	TAG	Suoliviridae
1732	34007	contig_14150	 23 	" 14,876 "	Zeta_4_1	11	Zeta
1936	34040	contig_15614	 23 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
205	33856	contig_1857	 22 	" 141,010 "	Epsilon_1	11	Epsilon
241	33940	contig_1857	 22 	" 141,010 "	Epsilon_1	11	Epsilon
646	33890	contig_3411	 22 	" 77,979 "	Epsilon_1_4	11	Epsilon
731	33856	contig_5617	 22 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
792	33887	contig_5621	 22 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1284	33983	contig_1091	 22 	" 145,297 "	Epsilon_2_3	11	Epsilon
1435	34009	contig_241592	 22 	" 97,658 "	Birpovirus	TAG	Suoliviridae
1665	33861	contig_8448	 22 	" 25,091 "	Zeta_3_1	11	Zeta
1724	34036	contig_14135	 22 	" 68,829 "	Zeta_4_1	11	Zeta
99	33936	contig_13525	 21 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
347	34006	contig_2345	 21 	" 17,956 "	Epsilon_1_1	11	Epsilon
421	33993	contig_239060	 21 	" 10,591 "	Carjivirus communis	11	Intestiviridae
548	34007	contig_3100	 21 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
587	33947	contig_3213	 21 	" 37,472 "	Epsilon_1	11	Epsilon
1011	34039	contig_7034	 21 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1278	33975	contig_1091	 21 	" 145,297 "	Epsilon_2_3	11	Epsilon
1497	33988	contig_3469	 21 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1680	33884	contig_8451	 21 	" 46,522 "	Zeta_3_1	11	Zeta
221	33887	contig_1857	 20 	" 141,010 "	Epsilon_1	11	Epsilon
632	33859	contig_3411	 20 	" 77,979 "	Epsilon_1_4	11	Epsilon
