#NAME	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H821_chip_S1	H823_chip_S1	H827_chip_S1	H831_chip_2_S1	H831_chip_S1	H835_chip_2_S1	H835_chip_S1	H838_chip_S1	H840_chip_S1	H841_chip_S1	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_swab_1_S1	H827_swab_2_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H837_swab_1_S1	H837_swab_2_S1	H840_swab_1_S1	H840_swab_2_S1	H841_swab_1_S1	H841_swab_2_S1
p__Chordata	48884	1484	7719	10584	1568	146	1091	40843	25	296	876	3525	2445	1531	4192	2614	4586	5322	55407	24394	1428	6770	2034	1490	2675	1836	1431	1671	2730	7480	2815	4226	3482	25162	2029	3650	3313	2523	2253	2740	3192	3231	18124	2333	8383	6779	4028	7474	6354	3223	1790	1556	2435	1594	2218	3157	1270	2423	3190	4188	3455	4429
p__Candidatus Firestonebacteria	1	9	32	0	11	0	3	0	0	0	9	32	8	2	1	3	2	2	9	3	1	3	2	21	3	15	9	6	6	2	4	12	16	3	2	17	0	0	4	1	27	2	2	2	2	6	1	5	2	33	2	9	23	2	5	2	1	0	0	8	4	3
p__Ignavibacteriae	165	995	583	50	509	24	197	157	5	212	770	480	270	482	151	209	151	138	210	154	210	352	57	1254	1899	478	867	435	394	35	111	211	319	319	135	295	97	128	47	121	73	70	97	155	294	163	438	934	180	206	32	141	442	182	490	1511	105	153	132	430	1004	1402
p__Candidatus Nanohaloarchaeota	4	25	7	41	4	0	68	0	2	5	3	8	15	53	0	3	0	1	7	44	5	1	1	8	0	0	8	6	0	0	0	0	8	0	20	0	0	1	0	0	0	1	0	0	26	12	0	3	3	0	2	0	2	0	0	0	117	183	0	0	9	4
p__Rhodothermaeota	79	932	207	14	224	12	522	616	3	108	282	584	494	3945	206	705	356	124	122	124	16	300	99	1796	539	167	114	372	78	33	51	26	79	108	38	132	24	43	43	20	41	60	42	34	139	49	139	11864	438	41	14	24	53	23	168	303	88	76	642	1410	12048	2960
p__Mucoromycota	116	407	269	169	482	16	141	367	2	81	231	271	179	172	1169	5650	877	5429	2974	1047	1329	2175	4171	4784	816	1989	3614	4552	4455	9818	5273	546	9226	16898	6323	3747	10620	1778	7837	3921	7416	6673	11171	4112	2488	1206	1454	2575	1918	26599	9279	9296	5353	2032	6637	1206	1275	389	2499	275	704	439
p__Mollusca	70	145	193	43	149	39	95	124	0	40	154	145	56	105	187	757	195	433	1100	465	83	265	360	298	454	542	257	259	143	260	115	244	575	480	299	419	187	376	186	191	199	190	180	318	804	1296	730	237	289	386	244	142	141	686	123	374	77	67	111	192	311	585
p__Candidatus Staskawiczbacteria	0	0	15	0	5	6	0	3	0	24	60	4	1	2	2	5	2	0	1	0	0	11	1	16	72	1	0	25	2	0	3	0	11	11	2	11	3	1	0	2	0	1	3	0	5	4	9	6	0	1	0	5	4	2	2	4	0	0	1	1	3	4
p__Xenacoelomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0
p__Candidatus Portnoybacteria	0	8	7	1	4	0	9	1	0	1	6	2	0	23	1	6	1	0	3	3	14	2	4	10	2	6	0	9	3	0	1	0	2	9	2	5	0	1	2	1	0	0	5	2	4	1	5	9	2	0	0	4	2	0	6	3	3	0	0	5	6	5
p__Candidatus Sumerlaeota	88	516	619	14	317	10	159	26	1	78	360	246	126	268	184	353	291	83	96	73	38	228	130	151	289	134	84	134	129	17	40	88	178	197	85	213	75	39	38	52	44	48	62	100	117	83	194	359	89	24	24	85	133	116	75	93	24	29	103	162	295	234
p__Bacillota	20918	105312	59339	44829	174192	2497	37276	42168	426	19261	66655	70422	25387	35397	326389	230102	26286	24463	75537	50888	499082	38337	52273	1654846	294955	1562918	1590769	2815304	3339142	40698	46580	19337	202677	62515	183345	35975	1200529	14747	22135	17764	709478	8861	14515	2048791	21127	17515	25460	73063	23837	2211931	125449	1984715	4258395	2530181	40443	100052	13091	22165	53872	448180	235846	367111
p__candidate division CPR3	7	47	18	3	11	3	14	1	0	6	20	61	1	11	4	3	4	2	7	2	4	11	3	12	2	5	5	17	7	2	2	2	3	5	2	0	9	2	0	0	0	2	1	3	3	3	12	8	2	4	1	4	19	4	7	3	1	2	0	4	9	27
p__Chrysiogenetes	8	21	39	1	26	1	13	3	0	14	31	15	3	21	13	20	14	7	12	8	9	15	11	25	36	15	20	72	71	2	7	11	10	21	13	17	5	5	2	10	1	3	2	6	15	12	16	36	8	26	0	10	11	7	16	22	0	2	30	26	32	26
p__Candidatus Woykebacteria	3	30	44	0	20	0	19	2	0	3	28	24	5	48	1	9	9	3	0	2	0	11	1	2	0	13	8	148	41	2	3	4	8	15	2	11	1	0	5	0	0	2	1	2	3	6	4	18	5	50	2	7	11	15	4	11	2	0	4	0	2	4
p__Candidatus Azambacteria	2	7	13	1	3	2	1	0	0	6	6	13	15	4	0	7	0	0	8	1	0	1	3	8	3	1	3	6	2	1	2	0	4	3	6	6	1	5	2	0	0	1	0	2	2	0	1	17	2	0	2	6	4	0	8	6	2	6	0	0	4	8
p__Candidatus Wirthbacteria	0	12	42	0	5	2	3	0	0	9	46	2	1	2	5	2	3	3	7	0	2	4	0	5	6	2	4	17	67	0	0	1	9	5	0	10	2	0	0	0	6	0	3	4	10	4	7	1	0	2	0	1	7	1	2	11	0	0	3	2	0	5
p__Candidatus Eremiobacterota	193	572	1385	15	898	10	72	4	5	59	307	275	194	76	37	112	50	126	312	74	56	168	30	57	26	81	37	88	73	15	265	38	1209	1512	839	1922	190	216	95	108	28	113	96	53	206	110	269	632	213	24	16	99	146	72	602	1441	4	58	33	40	29	18
p__Nitrospinae	170	1062	519	66	652	16	199	27	1	159	805	682	258	413	75	102	106	55	86	34	10	116	69	150	78	191	180	276	51	20	49	197	157	122	120	160	38	220	44	94	84	49	33	112	84	76	142	422	149	34	16	96	149	62	253	578	109	149	31	84	115	183
p__Fornicata	5	4	6	33	5	1	45	16	0	1	12	1	2	10	20	35	38	141	111	185	9	23	28	49	49	39	29	7	10	13	9	13	55	40	83	80	23	73	10	25	15	11	11	7	82	37	28	49	23	40	32	29	58	31	41	41	149	211	31	22	9	12
p__Candidatus Edwardsbacteria	0	9	5	0	39	1	0	0	0	0	3	12	5	7	4	3	2	4	5	6	0	0	2	10	8	0	2	4	3	2	3	0	7	5	4	5	0	2	2	0	2	0	0	0	3	2	7	16	3	1	4	2	6	1	11	16	12	11	2	8	9	6
p__Candidatus Saccharibacteria	344	736	1650	107	183	21	187	355	9	153	525	91	134	224	304	2779	745	307	3180	233	80	2210	413	574	586	214	178	7659	546	76	221	217	444	5843	295	521	98	125	108	181	105	287	198	117	507	339	623	416	200	115	63	131	133	80	205	205	58	100	182	188	155	189
p__Dictyoglomi	3	31	25	0	13	4	6	0	0	3	6	78	2	5	21	10	6	0	15	6	17	7	2	25	10	31	11	124	234	2	1	3	12	6	1	8	5	0	0	0	27	3	4	20	4	5	6	9	5	5	8	12	29	22	2	3	1	11	0	14	19	14
p__Heterolobosea	4	7	196	4	12	4	19	1	1	2	6	11	4	8	18	123	79	32	82	47	27	104	50	43	22	7	29	59	25	34	15	36	192	109	43	99	26	66	35	10	45	18	36	12	33	44	93	14	27	18	9	21	26	26	30	87	9	19	26	42	36	24
p__Bacteroidota	5317	27061	13644	2188	23679	786	9527	144686	135	15528	29649	12999	10085	62202	19958	40526	16955	22739	42242	12766	251421	79138	10113	1194725	1754093	38036	90824	41638	19310	4412	10407	188158	13350	38140	10168	54464	7688	8529	4285	10291	7281	14644	8134	11817	47246	24187	50195	129049	21253	8407	5068	6896	44682	32700	11497	23686	9125	11828	21089	670980	800206	1775482
p__Candidatus Komeilibacteria	5	45	9	0	4	0	23	2	0	0	8	48	4	18	0	4	1	5	6	1	2	2	0	17	2	2	2	0	3	0	7	4	3	2	2	4	2	1	0	0	0	2	2	3	4	2	5	3	0	0	0	1	2	0	2	7	0	0	0	0	0	8
p__Placozoa	0	11	4	0	2	2	0	2	0	5	17	10	0	5	1	16	2	22	44	18	1	17	18	12	10	77	3	4	6	1	3	10	20	12	107	22	11	13	2	2	10	9	8	11	16	32	24	15	9	5	4	5	23	97	4	10	1	1	3	0	3	4
p__Candidatus Sungbacteria	0	4	8	0	1	0	2	0	0	3	6	0	0	3	0	4	0	2	2	0	0	4	2	5	9	19	31	13	0	0	1	1	3	6	1	2	2	1	0	0	0	0	3	4	2	1	9	3	0	0	0	0	4	5	5	0	1	0	0	1	0	2
p__Candidatus Melainabacteria	57	476	480	19	338	20	111	27	5	81	253	325	88	141	83	165	95	136	121	51	30	302	49	170	156	126	105	184	154	30	95	83	371	342	129	249	75	63	36	75	51	75	62	112	167	164	382	313	141	21	8	85	175	426	267	509	55	58	82	76	124	159
p__Candidatus Geothermarchaeota	3	118	50	0	37	3	17	0	0	30	82	191	8	27	0	0	0	0	0	2	0	2	0	5	10	0	5	1	4	0	1	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	2	18	3	1	0	0	1	2	62	102	2	8	2	2	3	0
p__Candidatus Poribacteria	177	1580	1123	66	617	44	505	31	2	207	847	980	257	557	59	128	122	113	155	247	23	198	133	217	83	269	145	240	115	24	74	38	319	274	195	392	110	151	26	46	22	55	67	121	164	95	270	810	164	18	30	91	235	168	451	1214	171	208	65	155	347	160
p__Candidatus Verstraetearchaeota	4	19	49	28	16	4	18	0	1	35	62	17	15	21	21	16	72	8	9	10	3	2	2	11	15	15	7	21	6	2	2	1	5	11	22	26	3	21	1	2	22	7	3	2	14	9	4	23	8	11	9	4	10	1	30	26	14	22	3	0	3	22
p__Cossaviricota	2	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	20	2	0	8	8	142	2	1	0	0	0	0	2	0	2	11	3	8	0	2	1	8	2	2	2	0	4	38	2	10	0	16	26	2	0	0	8	7	2	0	2	0	0	0
p__Candidatus Cloacimonetes	104	1481	280	5	182	126	222	35	6	441	1341	261	85	213	80	389	193	112	134	70	54	209	117	229	283	134	121	848	320	32	49	82	145	256	61	167	43	28	30	70	94	51	56	129	180	157	209	454	106	68	18	81	120	86	318	925	28	27	85	118	253	294
p__Candidatus Eisenbacteria	81	1005	674	18	346	15	119	31	1	114	356	289	110	254	104	320	119	66	152	29	17	190	178	108	253	448	95	152	106	27	59	82	223	246	104	274	47	54	30	71	39	75	68	226	167	121	297	294	153	16	16	66	91	470	247	634	13	41	158	192	194	229
p__Balneolota	53	429	146	37	434	48	476	290	9	96	384	671	388	1878	169	306	214	76	102	114	108	214	44	1691	1507	371	278	326	99	31	63	81	81	70	81	106	55	64	26	26	94	29	33	125	110	82	106	3603	200	7	12	97	207	136	376	1077	82	141	231	597	4772	1778
p__Euryarchaeota	24589	16283	8540	593184	609575	768	2521403	15410	14529	2748	10222	701344	362520	2161926	1263	2235	1373	126168	397298	2845022	7290	46924	1268	61274	9177	32055	68706	60819	22355	17678	12078	1151	4768	3283	545175	21863	68203	2063641	987	626	837	1282	885	1640	514283	269557	2556	594936	216977	3353	5813	15376	107680	2054	11841	15216	3681300	4823330	5757	5620	126324	35808
p__Arthropoda	1538	3792	4449	3943	2257	2497	1343	3201	16	1782	3429	1952	853	1242	8347	11223	12469	14020	65278	88396	4919	22082	12289	12423	23530	18945	25163	7627	6556	5202	43980	11429	16369	17686	8102	12742	6971	41686	6647	10434	6362	7370	8196	22398	181692	205940	137543	10480	11955	10853	4674	4357	5247	13005	7662	33265	5256	4263	23277	15616	18908	24803
p__Candidatus Raymondbacteria	2	4	24	0	3	4	4	3	0	2	4	3	1	30	4	3	0	5	8	1	1	6	4	4	12	1	0	2	4	0	4	2	6	6	6	9	1	1	1	0	0	2	0	2	5	11	10	19	4	2	0	0	1	9	2	3	0	3	3	3	5	5
p__Candidatus Delongbacteria	2	8	8	2	3	1	1	2	0	8	42	6	7	1	1	2	0	0	3	1	6	3	0	4	5	6	3	15	9	0	2	10	3	3	1	6	0	0	2	1	0	0	1	10	2	4	10	12	2	0	0	0	1	1	0	0	0	0	0	0	10	9
p__Cryptomycota	2	1	11	5	2	2	14	5	0	1	0	5	0	1	10	61	13	114	91	28	20	22	142	70	80	24	8	15	23	197	19	18	100	80	91	48	42	34	124	35	112	68	35	8	51	30	42	28	36	64	36	28	35	39	9	10	7	4	43	28	6	16
p__Candidatus Zambryskibacteria	0	2	13	0	0	0	1	1	0	2	23	3	2	2	44	0	3	2	5	0	0	7	4	2	2	1	2	2	4	0	0	0	6	15	2	6	1	0	2	0	2	3	3	3	2	1	3	8	0	0	0	1	2	0	10	15	0	0	0	2	2	1
p__Microsporidia	1	3	30	2	4	0	13	16	0	2	3	7	4	43	9	41	4	90	112	35	9	210	93	27	202	34	49	45	29	124	103	31	593	497	156	664	76	94	70	135	71	73	25	15	107	71	73	55	48	103	172	41	40	48	22	20	8	9	42	65	40	47
p__Candidatus Roizmanbacteria	16	89	124	6	61	10	69	10	0	22	108	275	39	50	17	31	20	11	39	20	12	58	8	43	34	29	22	52	118	3	15	28	33	56	27	79	7	9	3	6	9	15	7	18	27	21	41	63	21	6	2	15	23	17	9	19	3	8	21	91	107	143
p__Porifera	4	3	17	1	11	2	2	11	0	0	4	13	3	4	20	108	19	34	65	16	3	193	52	27	11	7	11	30	16	41	18	44	344	281	121	155	57	42	56	23	62	65	18	35	107	116	88	41	44	73	48	20	19	9	131	195	10	1	17	13	9	4
p__Streptophyta	2360	6805	7295	1331	5044	283	1920	40858	81	1510	4932	3480	2000	2608	48186	37824	55546	60134	117282	9874	8744	105554	27170	51899	226250	114339	28413	40090	31179	22990	50767	77166	44045	83387	48006	103202	53287	28658	100006	74777	43353	82043	61612	279520	142594	71963	119394	44966	59888	44019	40116	28514	48977	143458	29508	36970	4424	25056	314057	354727	215144	452128
p__Candidatus Kryptonia	6	37	63	3	160	7	7	3	0	40	204	72	38	24	6	10	8	4	10	2	2	8	13	32	14	155	20	30	14	3	12	3	11	21	9	11	5	2	2	6	7	3	3	23	12	6	22	198	56	65	0	8	24	324	1	3	1	3	16	18	49	26
p__Priapulida	2	8	5	0	2	2	2	1	0	4	10	1	1	0	2	16	3	30	61	36	3	27	8	7	16	4	0	12	1	10	3	2	22	11	18	15	6	137	7	6	11	5	2	4	54	72	43	10	6	4	4	2	3	1	6	7	0	2	6	1	3	3
p__Candidatus Microgenomates	0	46	41	0	3	0	1	1	0	5	11	27	0	5	2	1	6	4	11	13	0	7	1	7	6	6	5	9	11	0	0	6	6	11	4	21	1	4	0	3	22	0	1	2	11	4	9	4	6	0	0	1	5	2	3	9	1	4	0	1	15	2
p__Coprothermobacterota	1	16	12	0	14	0	13	1	0	2	12	21	4	10	0	4	4	4	1	2	0	8	0	2	6	16	15	7	3	1	0	0	6	2	6	2	8	2	1	0	157	1	2	0	3	2	4	11	8	1	0	4	7	5	4	5	0	1	1	4	17	17
p__Gemmatimonadetes	3980	30056	82094	683	25193	5076	6021	733	81	5814	20377	18372	5541	8950	6026	21844	9120	6088	9555	2488	743	15780	3217	5292	4715	5467	3311	35851	7018	3133	4279	1739	9001	10081	6947	24579	1748	4748	6122	2638	1296	5336	6590	5412	10239	11300	23461	21272	9768	1115	1755	1789	2570	3330	12192	18713	1113	1934	2201	2592	7647	3921
p__Candidatus Wallbacteria	5	24	34	2	16	0	16	2	0	19	29	19	8	28	1	5	4	7	4	5	1	15	2	13	15	16	48	22	19	2	2	4	9	15	20	25	2	2	0	0	5	7	0	9	10	2	9	14	1	1	0	8	26	3	9	12	11	14	4	6	7	17
p__Fibrobacteres	8	212	235	14	142	9	44	21	0	44	111	113	30	74	28	88	47	84	102	22	20	133	27	140	256	167	132	232	117	7	14	41	95	96	40	78	36	20	16	20	28	39	36	21	112	82	116	63	54	26	24	33	107	217	83	193	15	15	49	66	182	178
p__candidate division Zixibacteria	105	1403	477	35	806	29	355	24	1	356	1070	730	219	423	60	95	81	67	79	171	15	115	47	257	275	177	223	231	158	23	50	87	174	169	112	191	91	88	29	32	72	37	25	176	142	95	176	589	150	116	28	101	249	161	446	993	160	283	71	189	270	178
p__Candidatus Giovannonibacteria	0	4	40	0	8	0	7	1	0	2	7	10	5	2	3	6	1	2	7	0	0	7	7	20	4	6	2	5	2	0	0	0	4	5	13	7	11	2	0	0	0	1	4	19	3	5	5	15	8	0	0	29	23	21	27	85	0	0	2	2	16	17
p__Abditibacteriota	22	346	79	1	262	59	247	35	1	73	285	1013	163	424	36	104	22	81	144	32	5	180	54	131	36	85	87	81	129	19	49	574	49	65	24	146	6	41	7	11	14	30	54	54	97	111	129	309	69	6	5	14	55	5	156	132	7	12	81	86	140	232
p__Pseudomonadota	58599	241143	608281	21891	159164	17465	61257	511209	796	56549	169180	135051	51127	73825	2338489	1961205	2718079	174678	274055	259026	177307	426225	842542	798398	4170472	3926097	2375479	808248	343747	68759	3032415	3931070	361871	388820	139761	418222	95215	72025	143424	2395160	89613	148150	1039390	1968988	263518	244511	464271	225068	144387	75785	499683	84405	167438	3072312	143616	185447	30376	118610	6821817	4457591	4557203	5097822
p__Candidatus Glassbacteria	1	15	36	0	44	5	3	0	0	3	15	12	3	7	3	8	6	5	8	1	1	3	2	9	15	4	2	18	6	4	12	16	8	19	2	12	6	4	10	1	0	9	6	7	9	9	15	10	5	0	1	3	0	7	25	107	0	1	2	7	13	3
p__Nebulidia	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Euglenozoa	29	135	109	13	224	12	44	29	0	32	62	126	43	142	51	197	59	174	165	82	35	153	116	147	231	54	73	88	60	117	63	31	360	255	200	305	65	84	152	76	113	105	90	58	144	105	132	142	136	136	74	53	89	70	101	123	39	61	72	61	216	155
p__Candidatus Diapherotrites	3	23	29	1	18	1	24	1	0	4	36	18	6	84	3	5	8	5	9	10	4	9	0	14	5	34	13	9	6	4	0	2	11	7	7	13	5	3	2	0	2	4	0	2	10	8	13	32	2	0	0	2	21	7	44	46	7	8	0	4	21	2
p__Candidatus Veblenbacteria	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Deferribacteres	12	217	45	4	39	13	48	13	0	43	185	101	7	46	29	14	12	9	11	13	14	20	10	85	57	77	102	40	17	10	48	23	11	32	16	11	17	11	0	3	40	5	7	47	15	13	16	43	20	64	0	48	89	46	12	24	10	8	23	47	130	95
p__Candidatus Beckwithbacteria	10	72	20	3	12	0	9	0	0	2	7	1	2	8	1	4	4	5	2	33	0	11	0	12	1	15	26	13	25	0	5	2	6	2	8	9	6	8	0	2	13	0	2	16	11	2	9	9	1	0	0	11	15	10	2	4	20	12	0	3	1	8
p__Thaumarchaeota	364	1710	3070	135	2378	42	671	95	19	283	1025	1372	573	916	289	622	352	1230	1052	487	62	5508	209	549	387	388	295	644	475	202	375	82	634	1146	446	1759	544	492	233	186	292	264	340	244	1296	740	2261	1525	538	395	172	373	517	138	565	839	373	480	237	192	385	277
p__Candidatus Aminicenantes	48	645	274	14	286	17	252	21	0	158	572	234	83	230	47	80	47	46	77	25	30	108	31	272	346	204	86	119	100	19	25	23	111	145	48	132	36	28	14	18	183	25	31	36	83	68	154	284	71	19	15	68	119	59	167	224	26	32	37	52	249	194
p__Uroviricota	468	760	1150	654	778	17	507	922	13	135	472	569	346	739	12284	571	892	342	889	864	894	1233	388	3094	4674	3133	1607	916	8539	156	32817	1701	381	1175	798	438	2534	681	176	194	469	201	280	485	425	377	503	1169	340	330	105	291	8955	1066	370	990	940	956	3780	6735	6954	3998
p__Candidatus Tectomicrobia	60	497	529	37	476	22	197	35	4	98	260	255	89	257	139	132	103	221	216	103	30	194	43	151	93	79	79	201	430	14	44	41	279	257	127	283	65	65	41	92	44	54	65	54	211	251	419	407	99	33	35	57	144	35	215	437	28	64	59	65	257	163
p__Candidatus Marsarchaeota	1	12	80	55	41	0	54	0	0	11	19	29	28	33	0	22	10	17	20	184	0	8	6	1	7	2	6	36	7	2	8	2	9	15	34	13	9	99	2	4	1	5	3	6	51	24	14	26	8	2	2	7	23	15	19	41	221	288	1	4	5	2
p__Candidatus Doudnabacteria	7	27	43	0	6	1	3	2	0	13	33	6	5	15	3	24	7	6	11	12	3	30	7	10	4	6	14	13	2	3	8	4	31	26	15	30	3	3	3	3	3	9	5	3	24	14	36	2	3	4	0	8	9	0	3	6	2	2	0	3	6	8
p__Candidatus Colwellbacteria	0	2	0	0	7	4	0	0	0	13	108	2	2	1	1	1	0	3	4	1	0	0	1	0	0	0	0	8	0	0	2	2	2	2	2	7	0	0	0	0	0	0	0	0	1	0	1	6	2	0	0	2	0	1	0	1	1	2	0	1	3	0
p__Candidatus Latescibacteria	73	795	616	31	315	17	466	12	5	90	322	670	169	495	46	77	90	58	114	118	25	129	65	167	210	179	91	152	191	14	51	48	147	158	95	159	52	58	22	18	28	28	19	108	82	65	205	347	112	49	15	84	132	213	252	452	113	133	70	61	179	113
p__Synergistetes	189	1309	520	82	765	33	278	35	3	281	775	505	272	388	179	197	164	78	128	135	97	131	83	555	346	504	390	630	481	27	54	80	110	189	125	140	188	121	48	108	226	45	36	452	116	60	148	494	155	236	57	336	555	319	168	202	130	183	76	192	315	338
p__Candidatus Calescamantes	0	3	3	3	6	1	0	0	0	9	32	3	0	2	1	0	2	3	0	0	0	1	8	5	7	5	2	1	2	16	0	0	3	0	0	1	2	0	4	0	5	4	0	18	0	4	0	6	1	0	0	0	1	0	1	0	1	6	51	42	26	43
p__Candidatus Peregrinibacteria	37	373	210	34	263	12	139	8	1	89	338	533	77	105	47	62	103	31	56	27	27	71	14	104	174	87	60	186	306	17	47	16	141	132	49	112	45	29	19	22	18	19	20	154	54	49	67	211	74	19	5	66	123	101	221	517	26	28	141	99	56	91
p__Aquificae	42	285	224	11	364	10	278	23	0	51	150	400	197	128	60	63	71	28	87	45	43	34	11	230	196	188	174	122	122	13	21	19	53	69	29	75	34	14	13	19	67	9	26	61	46	33	64	239	101	64	10	61	121	111	144	247	11	14	33	56	85	149
p__Annelida	11	29	25	4	32	13	16	8	0	13	58	26	28	31	55	66	76	93	184	98	5	48	54	66	70	24	46	101	159	81	30	16	145	126	86	52	111	103	101	135	92	80	68	46	126	194	100	86	32	92	44	62	36	18	45	85	16	7	37	35	36	24
p__Candidatus Harrisonbacteria	1	9	7	1	1	0	0	2	0	0	11	19	0	3	1	4	2	6	10	0	0	15	0	11	48	2	9	11	1	0	1	0	4	6	4	7	2	3	0	0	2	3	0	0	2	3	4	1	0	1	0	1	4	0	0	8	2	0	1	8	1	5
p__Candidatus Odinarchaeota	4	4	1	0	5	0	48	0	2	1	14	48	11	21	0	0	0	0	1	3	0	1	0	5	1	0	4	0	0	0	0	0	2	0	2	2	2	0	2	0	0	0	0	0	0	2	4	17	4	0	0	1	2	0	0	0	4	6	1	3	2	0
